Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
23	12	2018	0.53	20.02	0.0	2.0167
24	12	2018	3.11	15.98	0.0	1.5568
25	12	2018	0.13	18.59	0.0	1.6756
26	12	2018	4.47	18.59	0.0	2.4107
27	12	2018	11.16	22.71	0.0	2.2424
28	12	2018	16.53	22.13	30.99	0.6815
29	12	2018	16.02	19.58	0.762	0.717
30	12	2018	17.51	23.08	3.556	0.8739
31	12	2018	18.67	24.24	0.0	2.2019
1	1	2019	19.15	26.62	0.0	2.3098
2	1	2019	17.38	23.36	0.0	1.5195
3	1	2019	14.86	23.63	0.0	1.2497
4	1	2019	10.17	20.77	28.7	1.3124
5	1	2019	6.38	16.01	0.0	2.7274
6	1	2019	3.79	21.86	0.0	1.7271
7	1	2019	5.09	22.2	0.0	2.023
8	1	2019	7.05	21.56	0.0	1.6653
9	1	2019	6.75	15.54	0.0	3.9564
10	1	2019	1.83	13.23	0.0	3.6681
11	1	2019	0.19	15.37	0.0	2.4294
12	1	2019	6.45	18.8	0.0	1.9765
13	1	2019	10.24	20.4	0.762	2.4885
14	1	2019	4.13	10.31	0.0	1.0435
15	1	2019	0.81	8.16	0.0	1.1026
16	1	2019	0.47	15.3	0.0	1.626
17	1	2019	-0.08	18.39	0.0	2.285
18	1	2019	11.16	19.96	1.524	1.4737
19	1	2019	13.09	23.32	17.27	2.7394
20	1	2019	1.48	16.53	0.0	4.6371
21	1	2019	-1.1	9.69	0.0	2.2945
22	1	2019	1.35	17.17	0.0	2.5491
23	1	2019	11.43	23.9	43.43	4.1278
24	1	2019	1.69	18.19	22.61	2.089
25	1	2019	0.5	12.69	0.0	2.4224
26	1	2019	-2.46	13.63	0.0	1.7483
27	1	2019	1.89	11.02	0.0	1.1092
28	1	2019	-0.01	15.88	0.0	2.0353
29	1	2019	2.02	11.8	8.64	1.1297
30	1	2019	-2.66	8.37	0.0	2.361
31	1	2019	-1.78	13.23	0.0	2.2603
1	2	2019	1.35	15.09	7.874	1.8209
2	2	2019	10.68	18.22	20.32	1.4325
3	2	2019	10.17	17.91	8.64	1.0558
4	2	2019	8.27	21.42	0.254	1.824
5	2	2019	9.69	24.86	0.0	2.1271
6	2	2019	12.79	25.74	0.0	2.3261
7	2	2019	12.21	26.59	0.0	3.1802
8	2	2019	9.84	19.76	0.0	2.6336
9	2	2019	3.93	18.29	0.0	5.1078
10	2	2019	10.61	15.17	2.286	2.4527
11	2	2019	8.07	21.42	0.254	1.4749
12	2	2019	13.77	24.51	9.14	2.35
13	2	2019	3.93	15.74	2.032	3.873
14	2	2019	1.45	18.9	0.0	2.5609
15	2	2019	4.71	21.89	0.0	2.5751
16	2	2019	14.52	24.35	0.0	2.7518
17	2	2019	14.32	26.42	0.0	2.5941
18	2	2019	12.89	21.22	1.27	1.7727
19	2	2019	10.51	17.37	0.0	3.5068
20	2	2019	9.84	23.5	0.0	1.7874
21	2	2019	18.4	29.28	0.0	3.5962
22	2	2019	15.75	28.33	0.0	3.1715
23	2	2019	17.79	29.99	0.0	4.2271
24	2	2019	11.95	23.97	6.604	4.5455
25	2	2019	6.17	20.13	0.0	5.9051
26	2	2019	11.33	23.84	0.0	3.6657
27	2	2019	12.96	20.98	2.54	1.1087
28	2	2019	12.07	22.68	6.604	2.0274
1	3	2019	16.7	21.66	5.334	1.674
2	3	2019	16.15	25.1	2.794	2.4216
3	3	2019	15.92	26.73	40.39	3.1094
4	3	2019	4.61	15.95	0.0	3.3652
5	3	2019	2.43	12.38	7.874	4.4185
6	3	2019	-0.11	12.31	0.0	4.2333
7	3	2019	-0.01	18.53	0.0	3.3289
8	3	2019	7.19	24.04	0.0	4.6289
9	3	2019	10.01	26.32	0.0	3.7448
10	3	2019	12.96	29.14	3.81	3.31
11	3	2019	15.61	25.33	19.3	1.5545
12	3	2019	12.45	24.28	0.0	4.5744
13	3	2019	13.3	25.84	0.0	4.9726
14	3	2019	16.43	27.65	0.0	4.896
15	3	2019	16.29	28.46	3.81	4.6872
16	3	2019	10.58	16.36	0.0	4.4741
17	3	2019	9.33	18.22	0.0	4.2198
18	3	2019	4.51	18.97	0.0	4.008
19	3	2019	8.07	18.63	0.0	5.7886
20	3	2019	4.0	18.5	0.0	4.5456
21	3	2019	4.34	19.79	0.0	5.1719
22	3	2019	6.85	22.13	0.0	5.9413
23	3	2019	2.84	25.61	0.0	4.5401
24	3	2019	5.15	26.76	0.0	5.0911
25	3	2019	10.04	25.23	0.254	4.7692
26	3	2019	12.01	23.19	0.254	4.9481
27	3	2019	8.45	19.42	0.0	6.3792
28	3	2019	5.19	23.84	0.0	5.34
29	3	2019	7.33	25.95	0.0	4.5819
30	3	2019	11.87	27.38	0.0	5.0402
31	3	2019	10.31	20.2	0.254	2.708
1	4	2019	8.85	16.63	0.0	3.7129
2	4	2019	8.68	20.64	2.794	3.9843
3	4	2019	6.65	24.11	0.0	4.7057
4	4	2019	9.7	26.29	11.18	4.6576
5	4	2019	16.29	24.72	1.524	2.7718
6	4	2019	18.36	28.12	23.11	2.9501
7	4	2019	19.08	27.44	0.254	3.4462
8	4	2019	18.53	27.61	1.016	3.2053
9	4	2019	17.85	28.19	0.254	4.9755
10	4	2019	16.36	29.59	0.0	5.4227
11	4	2019	16.66	29.89	0.0	5.5928
12	4	2019	19.35	29.21	0.0	4.7754
13	4	2019	14.56	32.14	0.0	5.6185
14	4	2019	14.86	25.57	15.75	1.8031
